record_date,department,process_name,throughput,cycle_time_min,error_count,sla_target_min,sla_met,error_rate
2024-01-01,Operations,Order Fulfillment,47,920.12,0,480.0,0,0.0
2024-01-01,Operations,Inventory Replenishment,42,265.11,2,240.0,0,0.0476
2024-01-01,Operations,Quality Check,58,42.44,0,60.0,1,0.0
2024-01-01,Finance,Invoice Processing,50,84.82,0,120.0,1,0.0
2024-01-01,Finance,Budget Reconciliation,52,222.62,2,360.0,1,0.0385
2024-01-01,Finance,Expense Audit,50,46.58,0,90.0,1,0.0
2024-01-01,HR,Onboarding,52,1958.03,1,2880.0,1,0.0192
2024-01-01,HR,Payroll Processing,40,89.0,0,120.0,1,0.0
2024-01-01,HR,Benefits Enrollment,61,131.27,1,240.0,1,0.0164
2024-01-01,IT,Incident Resolution,60,244.42,1,240.0,0,0.0167
2024-01-01,IT,Change Management,43,287.13,0,480.0,1,0.0
2024-01-01,IT,Deployment Pipeline,58,58.0,0,120.0,1,0.0
2024-01-01,Logistics,Shipment Tracking,51,1319.65,2,1440.0,1,0.0392
2024-01-01,Logistics,Customs Clearance,47,2815.34,2,2880.0,1,0.0426
2024-01-01,Logistics,Route Optimization,36,62.16,2,60.0,0,0.0556
2024-01-01,Risk,Credit Assessment,40,111.66,1,180.0,1,0.025
2024-01-01,Risk,Fraud Review,56,15.35,0,30.0,1,0.0
2024-01-01,Risk,Compliance Check,40,694.35,1,720.0,1,0.025
2024-01-01,Compliance,Regulatory Reporting,50,332.7,1,480.0,1,0.02
2024-01-01,Compliance,AML Screening,37,30.06,0,60.0,1,0.0
2024-01-01,Compliance,Policy Review,63,1415.64,1,1440.0,1,0.0159
2024-01-02,Operations,Order Fulfillment,60,415.56,2,480.0,1,0.0333
2024-01-02,Operations,Inventory Replenishment,40,253.14,1,240.0,0,0.025
2024-01-02,Operations,Quality Check,50,44.5,0,60.0,1,0.0
2024-01-02,Finance,Invoice Processing,40,92.13,1,120.0,1,0.025
2024-01-02,Finance,Budget Reconciliation,69,317.09,1,360.0,1,0.0145
2024-01-02,Finance,Expense Audit,45,73.08,0,90.0,1,0.0
2024-01-02,HR,Onboarding,45,3722.83,0,2880.0,0,0.0
2024-01-02,HR,Payroll Processing,41,123.43,0,120.0,0,0.0
2024-01-02,HR,Benefits Enrollment,55,228.09,2,240.0,1,0.0364
2024-01-02,IT,Incident Resolution,39,144.45,0,240.0,1,0.0
2024-01-02,IT,Change Management,52,329.64,0,480.0,1,0.0
2024-01-02,IT,Deployment Pipeline,50,70.5,1,120.0,1,0.02
2024-01-02,Logistics,Shipment Tracking,64,1288.39,1,1440.0,1,0.0156
2024-01-02,Logistics,Customs Clearance,45,2435.02,1,2880.0,1,0.0222
2024-01-02,Logistics,Route Optimization,39,63.69,2,60.0,0,0.0513
2024-01-02,Risk,Credit Assessment,47,166.24,0,180.0,1,0.0
2024-01-02,Risk,Fraud Review,52,31.3,0,30.0,0,0.0
2024-01-02,Risk,Compliance Check,54,601.18,2,720.0,1,0.037
2024-01-02,Compliance,Regulatory Reporting,55,267.18,0,480.0,1,0.0
2024-01-02,Compliance,AML Screening,55,53.09,1,60.0,1,0.0182
2024-01-02,Compliance,Policy Review,47,1422.87,0,1440.0,1,0.0
2024-01-03,Operations,Order Fulfillment,61,385.25,1,480.0,1,0.0164
2024-01-03,Operations,Inventory Replenishment,43,261.77,0,240.0,0,0.0
2024-01-03,Operations,Quality Check,47,46.51,3,60.0,1,0.0638
2024-01-03,Finance,Invoice Processing,48,113.77,0,120.0,1,0.0
2024-01-03,Finance,Budget Reconciliation,42,300.47,1,360.0,1,0.0238
2024-01-03,Finance,Expense Audit,41,78.94,3,90.0,1,0.0732
2024-01-03,HR,Onboarding,47,2600.66,3,2880.0,1,0.0638
2024-01-03,HR,Payroll Processing,57,108.33,3,120.0,1,0.0526
2024-01-03,HR,Benefits Enrollment,48,168.7,1,240.0,1,0.0208
2024-01-03,IT,Incident Resolution,46,195.93,0,240.0,1,0.0
2024-01-03,IT,Change Management,47,533.8,0,480.0,0,0.0
